Name,Last,High,Low,chg_pct,chg,Time,Day,Week,Month,Ytd,Year,3Year,Day,Hour,Week,Month
FTSE4Good Global 100,"10,984.78","10,986.85","10,951.35",+0.19%,+21.16,17:45:00,+0.19%,-2.47%,-4.60%,-6.42%,12.86%,65.78%,Strong Sell,Neutral,Neutral,Strong Buy
MSCI AC World Equity,708.34,714.93,704.73,-1.00%,-7.12,14/02,-1.00%,-1.88%,-4.85%,-6.16%,3.40%,42.17%,Strong Sell,,Strong Sell,Strong Buy
MSCI Argentina,"2,179.82","2,234.64","2,175.71",-1.44%,-31.89,14/02,-1.44%,-0.34%,-3.56%,0.97%,19.20%,-9.42%,Neutral,,Neutral,Strong Buy
MSCI Australia AUD,"1,416.25","1,420.20","1,407.58",+0.57%,+8.01,14/02,+0.57%,1.25%,-1.04%,-1.57%,4.32%,16.50%,Strong Buy,,Buy,Strong Buy
MSCI Australia USD,"4,831.30","4,849.08","4,813.23",-0.23%,-10.91,14/02,-0.23%,1.14%,-2.57%,-3.61%,-0.84%,30.00%,Neutral,,Neutral,Buy
MSCI Belgium,77.04,77.42,76.07,-2.02%,-1.59,14/02,-2.02%,-1.21%,-5.54%,-4.51%,0.86%,-7.48%,Strong Sell,,Strong Sell,Strong Sell
MSCI Brazil,"1,678.96","1,692.30","1,671.62",-0.48%,-8.17,14/02,-0.48%,2.34%,12.69%,17.01%,-7.71%,-25.17%,Strong Buy,,Strong Buy,Sell
MSCI Brazil Net USD,489.92,493.81,487.78,-0.48%,-2.38,14/02,-0.48%,2.39%,12.85%,17.25%,-0.30%,-14.28%,Strong Buy,,Strong Buy,Neutral
MSCI Canada,"2,692.62","2,711.00","2,682.63",-0.97%,-26.36,14/02,-0.97%,-0.32%,-0.25%,0.78%,16.51%,32.99%,Strong Buy,,Strong Buy,Strong Buy
MSCI Canada Net USD,"7,761.22","7,809.51","7,732.73",-1.39%,-109.02,14/02,-1.39%,-0.52%,-1.66%,0.09%,18.29%,48.52%,Strong Buy,,Strong Buy,Strong Buy
MSCI Chile,"1,110.51","1,118.31","1,105.58",-1.67%,-18.84,14/02,-1.67%,3.37%,5.33%,15.01%,-16.67%,-36.75%,Strong Buy,,Strong Buy,Strong Sell
MSCI Chile Net USD,280.21,282.18,278.96,-1.67%,-4.75,14/02,-1.67%,3.37%,5.38%,15.06%,-14.90%,-32.22%,Strong Buy,,Strong Buy,Sell
MSCI China Net USD,604.63,614.90,603.55,-1.71%,-10.52,14/02,-1.71%,0.81%,-2.49%,-1.35%,-35.12%,11.84%,Strong Sell,,Strong Sell,Strong Sell
MSCI Colombia,492.21,493.76,486.42,-0.92%,-4.57,14/02,-0.92%,-1.63%,5.29%,9.08%,3.50%,-22.52%,Neutral,,Strong Buy,Buy
MSCI Czech Republic,318.86,320.65,312.14,-1.34%,-4.32,14/02,-1.34%,-0.88%,2.02%,2.62%,46.70%,31.05%,Strong Buy,,Strong Buy,Strong Buy
MSCI Denmark,"13,547.58","13,605.69","13,350.44",-2.16%,-299.18,14/02,-2.16%,-0.87%,-3.70%,-13.50%,6.65%,66.70%,Strong Sell,,Strong Sell,Strong Buy
MSCI Egypt,"2,320.53","2,325.39","2,286.94",-1.32%,-31.07,14/02,-1.32%,-1.12%,-7.40%,-6.30%,-5.04%,-23.73%,Strong Sell,,Strong Sell,Neutral
MSCI EU,143.36,145.17,141.21,-2.16%,-3.16,14/02,-2.16%,-1.67%,-5.17%,-6.65%,7.81%,24.42%,Strong Sell,,Strong Sell,Strong Buy
MSCI Europe,"1,982.49","2,002.37","1,959.88",-2.63%,-53.47,14/02,-2.63%,-1.92%,-4.92%,-5.29%,3.53%,23.99%,Strong Sell,,Strong Sell,Strong Buy
MSCI Finland,146.59,146.98,144.89,-2.11%,-3.16,14/02,-2.11%,-2.47%,-5.95%,-7.69%,1.07%,11.31%,Strong Sell,,Strong Sell,Buy
MSCI France,195.31,198.70,192.60,-2.17%,-4.33,14/02,-2.17%,-2.29%,-3.87%,-4.38%,16.28%,31.34%,Strong Sell,,Sell,Strong Buy
MSCI France Net EUR,314.83,320.31,310.47,-2.17%,-6.98,14/02,-2.17%,-2.29%,-3.87%,-4.30%,17.99%,38.48%,Strong Sell,,Sell,Strong Buy
MSCI Germany,163.31,166.71,160.43,-2.05%,-3.42,14/02,-2.05%,-1.15%,-4.93%,-4.47%,2.71%,19.47%,Strong Sell,,Strong Sell,Buy
MSCI Germany Net EUR,263.40,268.89,258.75,-2.05%,-5.52,14/02,-2.05%,-0.98%,-4.76%,-4.31%,4.57%,27.46%,Strong Sell,,Strong Sell,Strong Buy
MSCI Greece,3.850,3.900,3.760,-1.79%,-0.070,14/02,-1.79%,1.58%,4.05%,11.92%,28.76%,6.35%,Strong Buy,,Strong Buy,Strong Buy
MSCI Hong Kong,"15,395.31","15,506.03","15,322.15",-0.65%,-100.49,14/02,-0.65%,0.78%,2.42%,5.33%,-10.08%,-2.05%,Strong Buy,,Strong Buy,Neutral
MSCI Hungary,"2,406.34","2,415.40","2,368.29",-1.93%,-47.38,14/02,-1.93%,-3.49%,-2.44%,1.96%,16.17%,30.64%,Strong Sell,,Neutral,Strong Buy
MSCI India,"1,951.22","1,981.80","1,946.94",-3.04%,-61.26,14/02,-3.04%,-2.85%,-8.53%,-4.19%,12.75%,57.10%,Strong Sell,,Sell,Strong Buy
MSCI India Net USD,952.15,967.73,950.08,-3.31%,-32.56,14/02,-3.31%,-3.90%,-10.19%,-5.71%,9.43%,53.35%,Strong Sell,,Sell,Strong Buy
MSCI Indonesia,"6,961.54","6,985.03","6,907.17",-0.87%,-61.22,14/02,-0.87%,0.46%,0.64%,3.96%,3.82%,-2.46%,Strong Buy,,Strong Buy,Strong Buy
MSCI Indonesia Net USD,"1,690.43","1,692.57","1,675.70",-0.71%,-12.02,14/02,-0.71%,0.91%,0.42%,3.53%,3.08%,3.33%,Strong Buy,,Strong Buy,Strong Buy
MSCI Ireland,59.28,59.30,58.44,-2.08%,-1.26,14/02,-2.08%,0.63%,-4.25%,-6.82%,8.21%,41.01%,Strong Sell,,Strong Sell,Buy
MSCI Israel,235.21,236.75,232.69,-1.43%,-3.41,14/02,-1.43%,0.54%,-7.88%,-7.94%,1.20%,15.99%,Neutral,,Strong Sell,Buy
MSCI Italy,67.85,69.13,66.52,-2.01%,-1.39,14/02,-2.01%,-0.04%,-3.62%,-2.86%,12.09%,22.14%,Strong Sell,,Sell,Strong Buy
MSCI Italy Net EUR,128.80,131.23,126.27,-2.01%,-2.64,14/02,-2.01%,-0.05%,-3.27%,-2.51%,15.40%,32.47%,Strong Sell,,Sell,Strong Buy
MSCI Japan Net JPY,"2,444.34","2,480.14","2,424.51",-1.81%,-45.10,14/02,-1.81%,-0.36%,-2.96%,-3.69%,-0.24%,33.24%,Neutral,,Strong Sell,Buy
MSCI Japan Net USD,"7,614.44","7,725.14","7,567.84",-1.54%,-119.41,14/02,-1.54%,-0.33%,-4.45%,-4.03%,-8.74%,27.47%,Strong Sell,,Strong Sell,Neutral
MSCI Jordan,95.63,96.43,95.31,-0.26%,-0.25,14/02,-0.26%,-0.52%,-5.78%,-4.09%,19.55%,-43.29%,Strong Sell,,Strong Sell,Neutral
MSCI Korea,841.27,849.35,836.20,-1.58%,-13.53,14/02,-1.58%,0.10%,-6.28%,-7.71%,-16.98%,27.76%,Strong Sell,,Strong Sell,Sell
MSCI Korea Net USD,958.10,960.19,945.42,-0.93%,-9.03,14/02,-0.93%,0.74%,-6.38%,-7.70%,-22.25%,27.56%,Neutral,,Strong Sell,Sell
MSCI Malaysia,503.30,503.80,500.77,+0.27%,+1.33,14/02,+0.27%,3.19%,1.42%,1.08%,-4.83%,-14.13%,Strong Buy,,Strong Buy,Strong Sell
MSCI Malaysia Net USD,361.63,361.83,359.75,+0.26%,+0.95,14/02,+0.26%,3.07%,1.16%,0.52%,-4.21%,-6.03%,Strong Buy,,Strong Buy,Neutral
MSCI Mexico,"5,323.74","5,396.34","5,298.34",-1.74%,-94.04,14/02,-1.74%,1.54%,-3.90%,-2.53%,16.40%,14.72%,Strong Buy,,Strong Buy,Strong Buy
MSCI Mexico Net USD,559.35,566.98,556.68,-1.74%,-9.88,14/02,-1.74%,1.54%,-3.85%,-2.47%,19.36%,23.88%,Strong Buy,,Strong Buy,Strong Buy
MSCI Morocco,356.61,359.28,356.05,-0.66%,-2.36,14/02,-0.66%,-1.08%,-0.19%,2.54%,14.72%,14.67%,Buy,,Strong Buy,Strong Buy
MSCI Netherlands,221.07,223.62,216.07,-1.66%,-3.74,14/02,-1.66%,-1.77%,-9.13%,-13.64%,2.70%,53.22%,Strong Sell,,Strong Sell,Buy
MSCI Netherlands Net EUR,375.88,380.22,367.38,-1.67%,-6.37,14/02,-1.67%,-1.77%,-9.12%,-13.64%,3.98%,61.13%,Strong Sell,,Strong Sell,Buy
MSCI New Zealand,152.03,154.05,151.98,-2.14%,-3.32,14/02,-2.14%,-3.36%,-7.59%,-9.43%,-17.65%,8.25%,Strong Sell,,Strong Sell,Strong Sell
MSCI Norway,"3,534.12","3,578.89","3,533.14",-0.75%,-26.69,14/02,-0.75%,0.71%,-0.15%,3.81%,24.18%,18.59%,Strong Buy,,Strong Buy,Strong Buy
MSCI Oman,661.66,661.66,657.22,-0.18%,-1.21,14/02,-0.18%,-1.01%,-0.06%,6.25%,29.20%,32.05%,Sell,,Strong Buy,Strong Buy
MSCI Pakistan,269.44,272.85,268.65,-1.04%,-2.82,14/02,-1.04%,-0.93%,-0.13%,3.01%,-24.42%,-33.42%,Strong Sell,,Sell,Strong Sell
MSCI Peru,"1,417.12","1,429.35","1,404.29",-0.69%,-9.91,14/02,-0.69%,3.61%,3.20%,19.03%,-8.28%,-20.11%,Strong Buy,,Strong Buy,Strong Buy
MSCI Philippines,"1,271.23","1,271.23","1,253.46",+1.34%,+16.79,14/02,+1.34%,-0.18%,2.36%,5.10%,7.73%,-5.38%,Strong Buy,,Strong Buy,Strong Buy
MSCI Poland,"1,455.87","1,463.24","1,427.56",-1.87%,-27.69,14/02,-1.87%,-2.70%,-8.68%,-3.54%,10.20%,-12.70%,Strong Sell,,Strong Sell,Neutral
MSCI Portugal,44.04,44.35,43.63,-1.28%,-0.57,14/02,-1.28%,-3.93%,-8.10%,-10.69%,-4.86%,7.00%,Strong Sell,,Strong Sell,Strong Sell
MSCI Qatar,949.94,949.94,934.96,-1.29%,-12.42,14/02,-1.29%,-0.88%,2.42%,8.13%,22.36%,15.36%,Buy,,Strong Buy,Strong Buy
MSCI Singapore,"1,628.58","1,665.78","1,626.35",-2.04%,-33.94,14/02,-2.04%,-1.41%,1.18%,2.93%,3.98%,-3.34%,Buy,,Neutral,Neutral
MSCI South Africa,"1,573.17","1,582.54","1,566.56",+0.12%,+1.81,14/02,+0.12%,0.66%,2.80%,5.75%,2.59%,18.27%,Strong Buy,,Strong Buy,Strong Buy
MSCI South Africa NR USD,594.53,596.22,585.94,+0.05%,+0.32,14/02,+0.05%,2.31%,4.49%,11.70%,1.77%,18.57%,Strong Buy,,Strong Buy,Strong Buy
MSCI Spain,103.61,104.43,102.81,-2.48%,-2.64,14/02,-2.48%,-1.13%,-2.27%,-0.84%,5.61%,-3.95%,Strong Sell,,Sell,Neutral
MSCI Spain Net EUR,193.99,195.52,192.50,-2.49%,-4.95,14/02,-2.49%,-1.12%,-2.27%,-0.72%,7.09%,0.94%,Strong Sell,,Neutral,Strong Buy
MSCI Sri Lanka,622.57,633.26,615.23,-0.38%,-2.36,14/02,-0.38%,1.83%,-8.58%,-3.30%,3.65%,0.17%,Sell,,Buy,Strong Buy
MSCI Sweden,"17,955.77","17,993.70","17,678.28",-2.30%,-422.85,14/02,-2.30%,-1.50%,-5.76%,-9.63%,9.19%,40.88%,Strong Sell,,Strong Sell,Strong Buy
MSCI Switzerland,"1,579.58","1,586.46","1,566.28",-1.70%,-27.32,14/02,-1.70%,-0.88%,-4.23%,-7.54%,9.88%,28.65%,Strong Sell,,Strong Sell,Strong Buy
MSCI Thailand,529.98,532.83,528.36,-0.71%,-3.79,14/02,-0.71%,0.58%,2.78%,2.66%,5.77%,-11.08%,Strong Buy,,Strong Buy,Strong Buy
MSCI Turkey,"2,257,699","2,286,684","2,216,997",-2.08%,-48050,14/02,-2.08%,0.51%,-2.71%,8.65%,36.84%,58.40%,Strong Buy,,Strong Buy,Strong Buy
MSCI Turkey Net EUR,92.87,94.22,91.64,-2.23%,-2.12,14/02,-2.23%,1.56%,-1.96%,6.64%,-21.82%,-32.91%,Neutral,,Neutral,Strong Sell
MSCI United Arab Emirates,479.09,479.09,471.98,+0.26%,+1.23,14/02,+0.26%,2.29%,7.00%,6.14%,36.05%,39.62%,Strong Buy,,Strong Buy,Strong Buy
MSCI United Kingdom,"2,138.80","2,174.39","2,126.30",-1.68%,-36.65,14/02,-1.68%,-0.49%,0.11%,2.77%,13.13%,2.28%,Buy,,Strong Buy,Strong Buy
MSCI US Net EUR,496.10,499.01,492.72,+0.48%,+2.36,14/02,+0.48%,-1.59%,-4.44%,-7.44%,18.53%,64.69%,Strong Sell,,Sell,Strong Buy
MSCI US Net USD,"12,245.46","12,315.20","12,148.08",-0.36%,-44.05,14/02,-0.36%,-2.55%,-5.48%,-7.96%,10.61%,65.35%,Strong Sell,,Strong Sell,Strong Buy
MSCI World,"3,011.45","3,037.83","2,994.81",-0.91%,-27.73,14/02,-0.91%,-2.13%,-5.09%,-6.82%,6.48%,45.72%,Strong Sell,,Strong Sell,Strong Buy
NQ Global,"2,118.33","2,118.85","2,110.56",+0.24%,+5.06,18:00:00,+0.24%,-1.53%,-4.63%,-5.95%,2.97%,40.47%,Strong Sell,Neutral,Strong Sell,Strong Buy
S&P Global 100,"3,037.17","3,055.74","3,017.66",-0.72%,-21.93,14/02,-0.72%,-2.52%,-3.39%,-4.03%,13.24%,63.42%,Strong Sell,,Neutral,Strong Buy
STOXX 600,467.30,467.36,459.48,+1.38%,+6.34,17:59:44,+1.38%,0.40%,-2.90%,-4.22%,11.45%,26.63%,Sell,Strong Buy,Sell,Strong Buy
The Europe Dow EUR,"1,768.29","1,773.15","1,742.65",+1.05%,+18.29,18:00:00,+1.05%,0.33%,0.39%,3.95%,23.44%,31.21%,Strong Buy,Strong Buy,Strong Buy,Strong Buy
The Global Dow EUR,"3,478.06","3,482.43","3,466.12",-0.04%,-1.38,18:00:00,-0.04%,-0.79%,-1.76%,1.48%,19.58%,39.67%,Neutral,Buy,Strong Buy,Strong Buy
The Global Dow USD,"4,188.35","4,192.42","4,164.43",+0.23%,+9.58,18:00:00,+0.23%,-1.45%,-2.53%,1.23%,12.04%,40.67%,Buy,Sell,Strong Buy,Strong Buy
TR UK 50,113.98,115.94,113.38,-1.67%,-1.94,14/02,-1.67%,-0.55%,0.18%,2.97%,11.70%,-1.19%,Buy,,Strong Buy,Strong Buy
